Cell Index,Gapdh,Slc1a3,Slc17a7,Snap25,Rasgrf2,Rgs4,Prox1,Plcxd2,Vxn,Pcp4,Nr4a2,Ctgf,Gad1,Gad2,Pvalb,Sst,Vip,Lamp5,Aqp4,Apod,Plp1,Cx3cr1,Pmch,Gfap,Cck,Mbp,Rprm,Enpp2,Nov,Rorb
91,12,0,0,8,0,3,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
92,1,0,0,6,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,3,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0
94,0,0,0,2,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
95,5,0,0,5,0,0,1,0,0,4,0,6,5,6,2,47,4,1,0,0,1,1,0,1,0,1,3,2,0,0
96,9,0,1,14,0,0,0,0,9,4,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0
97,5,0,5,17,0,0,0,1,6,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,4,0,0,0,0
98,5,0,0,12,0,1,0,1,0,5,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,4,0,1,0,0
99,4,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
101,5,0,0,6,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
102,1,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
103,9,0,1,17,2,4,0,0,3,3,0,0,2,3,2,6,1,2,1,0,0,2,0,0,0,0,0,1,3,0
104,6,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,1,0,1,0,1,1,2,1,0
105,10,0,0,14,0,7,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
106,6,0,1,0,0,1,0,0,1,8,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1
107,12,0,1,6,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
108,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0
109,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0
110,2,1,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111,4,0,3,12,0,1,0,0,2,4,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0
112,6,0,1,4,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,0,0,1,0
114,2,0,0,20,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,3,0,2,2,0
115,8,0,0,8,0,3,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,0,1
116,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
117,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,1,0,0
118,2,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,0
119,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
120,3,0,0,5,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,6,0,0,12,1,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
123,13,0,3,14,5,1,0,0,2,2,0,2,5,0,3,0,2,0,0,1,1,3,0,0,0,1,1,0,0,0
124,3,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0
125,5,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0
126,4,0,1,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
127,4,0,1,9,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
128,3,0,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0
129,9,0,0,5,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
131,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0
132,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
