Cell Index,ce_z_in_pix,ce_x_in_pix,ce_y_in_pix,type,subtype,in_nu,polar,rna_ave_dis,cell_radius,cell_volume,nu_volume
12856,87.36,3978.0,2952.0,Glial,Glial-Astrocyte,0.0,23.264577270080682,46.9364818388864,55.36538991102655,84383.04,24991.68
12859,218.4,3658.0,2826.0,In,In-other,0.7142857142857143,3.1363569143000123,18.13003061160685,22.456393299013982,3568.3199999999997,29581.44
12861,110.88,3846.0,2708.0,Glial,Glial-Microglia,0.8333333333333334,7.184393579914086,22.083339898166514,20.506096654409877,8201.76,38939.04
12868,33.6,3622.0,2918.0,Ex,Ex-DG,0.8333333333333334,1.4557319655606256,16.389131358348358,26.264234235933852,2630.88,39231.36
12871,208.32,3974.0,2854.0,Ex,Ex-CA1,0.375,36.97709054265898,43.963750404909206,34.925486396040355,18029.76,29305.92
12874,30.24,3724.0,2752.0,Glial,Glial-Microglia,0.6666666666666666,8.55611801902908,17.43412334685671,19.33363907804219,2553.6,44261.28
12876,33.6,3592.0,3110.0,Ex,Ex-4-Rprm+,0.6666666666666666,12.824499123855826,21.48507798595361,20.330332018931713,1296.96,50904.0
12886,77.28,3594.0,3030.0,other,other,0.625,6.52595012239597,18.497253979054047,20.41706149278098,0.0,25146.239999999998
12887,26.88,3694.0,2714.0,other,other,0.5,12.168997037097624,22.650873544111775,21.571332828548172,0.0,22182.719999999998
12889,154.56,3896.0,2700.0,other,other,0.625,17.700435022902695,22.02805569602262,19.6952176936433,0.0,47130.72
12893,33.6,3602.0,3014.0,In,In-other,0.6666666666666666,14.569380372701126,22.392782882136,23.765992510307665,1831.2,47701.92
12900,26.88,3684.0,2988.0,Glial,Glial-Microglia,0.7142857142857143,5.672032353610713,19.94558803897947,27.22264498537936,5164.32,28798.559999999998
12906,110.88,3688.0,3072.0,Ex,Ex-4-Rprm+,0.6,4.479015963356326,17.002196361967883,19.622945752358387,6995.5199999999995,9898.56
12908,191.51999999999998,3956.0,3180.0,Ex,Ex-5-other,0.043478260869565216,24.888515795955463,37.706260010505126,51.809010799280856,90118.56,22454.879999999997
12909,30.24,3632.0,3070.0,Ex,Ex-DG,0.5714285714285714,4.513450193927055,21.019259127040623,22.88716670975243,4290.72,43861.439999999995
12925,141.12,3864.0,3388.0,In,In-other,0.13793103448275862,23.210022846244474,36.21574488923374,42.24246204945919,97624.8,82719.84
12926,90.72,3794.0,3320.0,Ex,Ex-3-Rorb+,0.3333333333333333,14.155995981287221,42.142029116115374,74.43555333306793,247107.84,71870.4
